0.16346801346801346 0.891729797979798 0.8863636363636364

______40________________________ .1......40......................

___40___________________________ ....40..........................

________________________________ .40.............................

0_______________________________ ................................

____________________________2_2_ ..............................2.

________________________2_____40 ..........................2....4

_____________________2_____40___ .......................2....40..

__________________2_____40______ ....................2....40.....

_______________2_____40_________ .................2....40........

_____________2____40____________ ..............2....40...........

_________2_____40_______________ ..........2....40...............

______22___40___________________ .......2....40..................

___22___40______________________ ....2....40.....................

22___40_________________________ .2....40........................

___40___________________________ ...40...........................

40______________________________ 0...............................

______________________________2_ ................................

________________________________ ................................

____________________________1___ ................................

___________________________2____ .............................3..

________________________2____40_ ..........................3...40

_____________________2____40____ .......................3...40...

_________________2____40________ ...................3...40.......

______________2____40___________ ................3...40..........

____________3___40______________ .............3...40.............

_______2____40__________________ ..........3...40................

____2____40_____________________ .......3...40...................

_2____40________________________ ...3...40.......................

3___40__________________________ 3...40..........................

__40____________________________ .40.............................

____3_____40____________________ ................................

___________________________2____ ..............................2.

_________________________2_____4 ..........................2.....

_____________________2_____40___ .......................2.....40.

__________________2_____40______ ....................2.....40....

_______________2______40________ .................2.....40.......

_____________2_____40___________ ..............2.....40..........

_________2_____40_______________ ..........2.....40..............

______2_____40__________________ .......2.....40.................

___2_____40_____________________ ....2.....40....................

22___40_________________________ .2.....40.......................

___40___________________________ ....40..........................

0_______________________________ 40..............................

0_______________________________ ................................

0_______________________________ ................................

________________________________ ................................

___________________________22___ .............................2..

_________________________2_____4 ..........................2....4

_____________________2_____40___ .......................2....40..

__________________2_____40______ ....................2....40.....

_______________2_____40_________ ................2....40.........

____________22___40_____________ .............2....40............

_________2____40________________ ..........2....40...............

______2____40___________________ .......2....40..................

___22___40______________________ ....2....40.....................

2___40__________________________ 2....40.........................

2__40___________________________ ..40............................

40______________________________ 0...............................

________________________________ ................................

_________________________0______ ................................

________________________________ ................................

_________________________2__2___ .............................2..

______________________2__2___40_ ..........................2.....

___________________2__2___40____ .......................2.....40.

________________2__2___40_______ ....................2.....40....

______________2_____40__________ .................2.....40.......

_______2___22_2___40____________ .............2.....40...........

______2___2___40________________ ..........2.....40..............

___2__2___40____________________ .......2.....40.................

___22___40______________________ ....2.....40....................

22___40_________________________ .2.....40.......................

___40___________________________ ...40...........................

40______________________________ 40..............................

____________________________3___ .............................3..

________________________3____40_ ..........................3.....

_____________________3____40____ ......................3.....40..

__________________3____40_______ ...................3.....40.....

_______________3____40__________ ................3.....40........

____________3____40_____________ .............3.....40...........

_________3____40________________ ..........3.....40..............

_____3____40____________________ ......3.....40..................

__3____40_______________________ ...3.....40.....................

3____40_________________________ 3.....40........................

_____1________40____________3___ ......1.......40............3...

_1________40___________3_____40_ ..1.......40............3.......

1______40__________3_____40_____ .......40............3.........4

____40___________3_____40_______ ....40............3.........40..

_______________3_____40_________ .40............3.........40.....

____________3_____40____________ ............3.........40........

________3_____40________________ ........3.........40............

_____3______40__________________ .....3.........40...............

__3______40_____________________ ..3.........40..................

3_____40________________________ .........40.....................

3____40_________________________ ......40........................

0_______________________________ ..40............................

0_______________________________ 0...............................

_____________________________1__ ...............................1

___________________________1____ ............................1...

_________________________1______ .........................1......

_____________________1_______40_ ......................1........4

