lcRel,50.78525954457521
cutout,55.82666568159696
evtEnd,59.88205379572329
rightTO=4,88.15325953927847
rightTO=1,89.7848894510531
rightTO=4,101.67123023891523
lcRel,105.04594002125111
evtEnd,108.82229736463583
lcRel,129.3882917401567
evtEnd,133.52819393056546
rightTO=8,133.62612821278736
rightTO=12,208.78334333668715
cutin,228.18384160532855
evtEnd,231.1916159392002
rightTO=2,231.2875915357777
cutout,249.20317829002647
evtEnd,251.3797471085359
rightTO=12,251.47189763340384
lcRel,274.38263585383663
evtEnd,278.9754738778097
rightTO=1,279.1125818729204
cutout,290.08005910830803
evtEnd,291.58252604701346
