acc:0.34636533685711907 iou:11.078124999999998 evaltime:2

__2_______________________22____ .......................3.......4

_______________________333_400__ ..0.............................

______________111______4400_____ ..............1..........4......

______________________________11 .........................3.....4

444__________________1111_______ ......................1.........

_____44_________________________ ......4.........................

0______________________000_____3 .0..............................

_________________222___4400____3 ..................2......40.....

_______________________________1 ................................

111_________44__________________ .1........4.....................

_______0________________________ ............................0...

___________111____400__________1 ...........1.........40.........

__33__44________________________ ...3....4.......................

_____111_______40_______________ .....1........40................

____444_________________________ ....4...........................

______4444____________________11 .............................1..

333_______________________000_11 ..........0.....................

00_____________________________1 .2...4..0.......................

111_____440________________11___ ...........4....................

_____3333__440__________________ ......3........4................

_______________________2222___44 ....................2...........

00______________________________ .4..............................

4000____________________________ .406............................

0__________________00___________ .......................3....4...

________________0_______000_____ .0..............................

____400_________________________ ...4................0...........

1________4400___________________ .........40.....................

________________111________444__ ................1.............4.

___________33_000______________2 ...40...........................

11_______44444_________________1 ........40......................

_______________________________1 ....40..........................

11______440_____________________ .........40.....................

__4000______________________111_ ..............................5.

____111_______440_______________ .....1.........40...............

111_____444_____________________ 1..........4....................

00000_____________________111___ .........................1......

________________________________ ....................3........4..

2333_4402_00____________________ .....................3......40..

33____440____0__________________ .40.............................

0__3333__440000_________________ .....3....40....................

______________________________11 0...............................

__40____________________________ ..............................3.

_______440__1__________________1 .........4......................

22__4__________222___400___00011 ..............2....40...........

0______________________________1 ..............3.................

_440____________________________ ..406...........................

____11______440_________________ ...1............4.....0.........

____________________________3244 ..4.............................

00______________________________ ................................

_444____________________________ .......................0........

_____44_______________________11 ......4.........................

_333___400______________________ ..3........4....................

_____444________________________ .....4..........................

______________________________11 ...............................1

_222__400______________________1 2.....40........................

______111_______440_____________ ......1..........40.............

___________________111_______400 ....................1.........40

40______________________________ ......3.........4...............

____44000_____________________11 ................................

403333__400_____________________ ...............................3

__111______444________44________ ...1...........4................

__________000____________111____ .........................1......

40_________________222223_440222 .................0..............

400_____________________________ 0...............................

___400__________________________ .......3...........40..........1

_____333______________400_______ ....3......40...................

2_____4400______________________ .......40.......................

_________________22__4___440____ .....3.....40....2.....40.......

_____4400_______________________ 2......40.......................

000____________________00_______ ................................

0_______________________________ ....40..........................

________________________________ ................................

6666000000_______111_____4400___ ................1...........4...

_______________________111______ .......................1........

0______________22_______________ .............................2..

0______________________________1 ..40............................

______444_______________________ .......4........................

_______________222________222222 ................................

_____400________________________ .....4..........................

________________________________ ...............0................

1______444______________________ 1.......4.......................

__444444________________________ ..40............................

___44__44__________111_____44444 .....4..........................

___________________11______440__ .................1.........4....

0____________111_________444____ ..............1..........4......

_____________________________222 ............................2...

____________1_________________33 ..........1.............4.......

__3333__440_____________________ ...3........4...................

0_______________________________ 0...............................

_____________________________111 .4..............................

________4_0_____________________ ..............3...........4.....

_____0______11_____400__________ ..........3...1......4..........

_______111_________444__________ ........1........4..............

________3332222__________222__40 .......3..........4.............

____________________________1___ ......................3...40....

0111_____400____________________ 3...1......4....................

_____________________________00_ ........................3.....4.

00222223334002_00_______________ 0.........................3.....

__________1133______44400_______ ............1.........40........

_______________________111______ .........................1......

_____________________________333 ............................3...

___________________111______440_ .....................1.......4..

______11_____________4400_______ 40.....1.......402....40........

224400_3333__44000______________ .........3....40................

22_____440______________________ .2.....40.......................

44__________________________0000 ..............................0.

________222__4400______________3 .......2.....40.................

0000____________________________ ...........................5....

0________111______440_______111_ ...........................1....

______________________________33 .............................3..

__1111_______44444__________111_ ....1.........4.................

____________________________3333 .............................3..

44_____________________________0 ...............................0

664666666666666666600________111 ..........4.................1...

0_______________________________ 0...............................

_____________1111111______444444 ..............1..............4..

_____________222222_____440_____ ..................2.....40......

4400____________________________ ..........4.................0...

_______________________333333_44 .........................3......

______________________________11 ...........3..................4.

_________________________1111___ ...4........................1...

00______________________________ .....5..........406.............

00_____________111_________444__ ................1..........4....

00______________________________ ...............................3

__________________22____________ ................................

0_______________________________ ..................0.............

0222___440___000_____________222 2....40.......................3.

_____________________________111 ..............................1.

___111______444________________1 ...1..........4.................

__________________333_33333____4 ................3...............

____11____4400__________________ ...1........40..................

00__3333__440000________________ ......3....40...................

40_____________________________2 ............................2...

____________________________1___ ......................3...40....

___________________11_______444_ ....................1.......4...

_____________________111________ ....................1...........

______________111______440______ ................1.......4.......

0______________________________1 ..........5..........406........

_____440________________________ .....40.........................

_111_________444________________ ..1..........4..................

00________________2_____4_______ ..............3...........40....

0___33________________________01 ..3...4..................0......

44022___000___3_______________11 .......4........................

444_________________________00__ ............0...................

__________33___00_____________00 ..........3.....4.0.............

4_______________11____________44 ...............1.......40.......

_______1111__________44444444___ ........1..............4........

000____________________________1 ........................2.......

_440____________________________ ................................

4400____________________________ ................................

_____00_________________________ ................................

_111____40__44_______________333 .1.........40...................

___11_______440_________________ .1.........40...................

44000___________00____________11 ................................

_____________________11111______ .....................1..........

___400_____________________22__3 ...40...........................

11_____________________________1 .....................1..........

1________400____________________ 1........4......................

_____11_______444_______________ ....1.............4.............

_____________111_______44_______ ...............1........4.......

________4400____________________ ..3.........4...................

3______400_______________2222333 .3....40.................3......

_____40_________________________ ....40..........................

_______________11__________400__ 40..........1.........40........

__44____________________________ .....3......4...................

__222232_440_____4400___________ ...............2........40......

3___4____4______________________ ...............................0

________4400________________3333 .........40..................3..

___________________________11___ ..............3.....40....2.....

___3333________4400_____________ .........3.........4............

00_________________________00000 ......4....0....................

___333___400____________________ ....3........4..................

_____________3_440______________ ..........................3.2.2.

224400__333_____________________ ..4.............................

___400__________________________ ..40.....3......4...............

____________________________0___ ............................3...

111________400__________________ ..........4................0....

____400_________________________ .....40.........................

________________________________ 0...............................

______444_______________________ ......4.........................

__11_______44___________________ ...1........4...................

___40___________________________ ......0.........................

______4000______________________ ............3....4..............

0_____________________________11 ..........3..................4..

___________________________33__1 .........................3.....4

_____11_________4400__________11 ..1.........40..................

_________11______444___________1 .........1...........4..........

444000_________________________1 ..40............................

00______________________________ 4...............................

_______________1111_____444_____ ................1..........4....

1111______________440_________33 ...1.........40.................

___________________________1111_ .............................1..

4_0____________________________2 ...........................3....

________44______444_____________ ...........4....................

________________11111______44___ ...................1.........4..

________________________________ ............0...................

0_______________________________ ...............................3

______________________000____0__ ...........................3..1.

________________________________ ................................

1_________440__11______400______ .........40.....1.......402....4

_______________________11_______ ........................1.......

2___4_________33_400____________ 2.....40........................

111111____________44444444______ ..1.............4...............

_______11_______________________ ............................1...

____________1111_________444___4 ................1.........40....

__________________22_________111 ................................

_______________________________1 ................................

_______________________________1 ................................

__00_______________________11___ ............................1...

________________00______________ .....0..........................

2_____________________________11 .40.............................

______440_______________________ .......40.......................

_______________________________1 ................3...........4...

______________________1111______ ........3.....4.......1.........

00___________________________111 .........................2.....4

444_____________________________ ................................

__1111_______44444__________111_ ....1.........4.................

222____________________55_______ ....................3......4....

00______________________________ ..............................1.

____________________111____44401 ....................1.........40

__40____________11______444_____ ..............1.........4.......

__3333__440_____________________ ...3........4...................

_3333_0____________222______4400 .3..........4...................

_____________________________00_ ........................3.....4.

___________________________11___ ..........3.....40........1.....

___________11_______4444______44 ..........1.............4.......

________________________________ ....................2.....40....

444____________________________1 ..40............................

_________11__________444________ 4.......1............40.........

____111________4400_____________ .......1........4...............

____444_________________________ ......4.........................

1________4400________________333 1.........40..................3.

_____44_____________________00__ .....40.........................

_____40_______________________11 ......4...................0.....

_____________1111111______444444 ..............1..............4..

40____________11______400_______ 5.......................40......

_________________111_______440__ ..................1.........40..

0____________________________000 .........2......4....0..........

_444____________________________ .......................0........

___111________44444400__________ ....1........40.................

____________22222_____440_______ ................2.....40........

________________________000__000 ..............................3.

________________________________ .............3........4....0....

____400_________________________ ....40..........................

________________________________ 5..........406..................

444000_________________________1 ..40............................

______________00________________ ..............................3.

________________________________ ...2.....40.....................

__________________111_______400_ ..................1........40...

0_111_____400___________________ ..1........40...................

00______________________________ ............5..........406......

00_____________________________1 ...0............................

111111__________44444444________ 1.............4.................

________________________________ 4...............................

_______1111__________44444444___ ........1..............4........

________________________1111____ ........................1.......

1111__________4444444__00_______ .1............4................. 1_____________4_________________ beam

____333_0____________2222_____44 ...3..........4................. ____32_______________22_______40 beam

_____11_____400_________________ ...3...1......4................. _____1______40__________________ beam

___4444444______________________ .4.............................. ___4____4_______________________ beam

___1111___________444444444_____ .....1..............4........... ____1______________4____________ beam

44000__________________________1 .............0.................. 40_____________________________1 beam

____400_________________________ ...40........................... ____40__________________________ beam

0_22___________________________1 4............................... 0_______________________________ beam

